epoch,Loss-BCE,Train_Accuracy,Train_Sensitivity,Train_Specificity,Train_F1-Score,Train_VPP,lr,Val_Accuracy,Val_Sensitivity,Val_Specificity,Val_F1-Score,Val_BCE-Loss,Val_VPP
0,0.641179084777832,0.6469351053237915,0.650089681148529,0.6447545289993286,0.5218314528465271,0.5013781189918518,0.001,0.5591517686843872,0.8022321462631226,0.2697302997112274,0.5062853097915649,0.673035204410553,0.3824264109134674
1,0.5948434472084045,0.6642127633094788,0.7130260467529297,0.6506475806236267,0.580469012260437,0.5442419648170471,0.0009999383779245895,0.6886160969734192,0.5386332869529724,0.6432900428771973,0.45918941497802734,0.6030698418617249,0.45245909690856934
2,0.5849112272262573,0.6796875,0.737521231174469,0.6593146920204163,0.5981247425079346,0.5455551743507385,0.000999753526902683,0.5145089030265808,0.875,0.184002086520195,0.5000426173210144,0.7174665331840515,0.3655725419521332
3,0.5718163251876831,0.6875,0.7499027252197266,0.6607264280319214,0.6105247735977173,0.5474892854690552,0.0009994454925435043,0.5837053656578064,0.7891970276832581,0.3228354752063751,0.5126105546951294,0.6498470902442932,0.391323059797287
4,0.575236439704895,0.6765324473381042,0.7459481358528137,0.6468400955200195,0.6000611782073975,0.5352321863174438,0.000999014350849922,0.6517857313156128,0.6707849502563477,0.4821082055568695,0.5010226964950562,0.612178385257721,0.4161755442619324
5,0.5642181634902954,0.6789363026618958,0.7310600876808167,0.6497144103050232,0.5993314981460571,0.5348116159439087,0.0009984602081996978,0.6283482313156128,0.7320584654808044,0.42929768562316895,0.5286546945571899,0.6238228678703308,0.43175652623176575
6,0.5629867911338806,0.6841946840286255,0.7433791756629944,0.6558240652084351,0.6090491414070129,0.5450518727302551,0.0009977832013192388,0.5814732313156128,0.7986606955528259,0.3070935904979706,0.5313740968704224,0.6445396542549133,0.4217875599861145
7,0.5539712905883789,0.6917067170143127,0.7554464340209961,0.6600164771080017,0.6174608469009399,0.5456457138061523,0.0009969834972498627,0.6450892686843872,0.6877237558364868,0.47224321961402893,0.5143316984176636,0.6100708246231079,0.4228377342224121
8,0.5564678311347961,0.6921574473381042,0.7559543251991272,0.6624897718429565,0.6195650696754456,0.5531485676765442,0.000996061293306582,0.5691964030265808,0.7839164733886719,0.3051821291446686,0.5047832131385803,0.6461462378501892,0.38388076424598694
9,0.5560714602470398,0.6861478090286255,0.7494741082191467,0.6550807356834412,0.6148391962051392,0.5498870015144348,0.0009950168170294207,0.7633928656578064,0.46145322918891907,0.8647069334983826,0.5032824277877808,0.5815107226371765,0.5871661901473999
10,0.5555501580238342,0.6871995329856873,0.7474886178970337,0.6608485579490662,0.6123690009117126,0.5510740876197815,0.0009938503261272716,0.5524553656578064,0.8072195053100586,0.270018994808197,0.5029664635658264,0.6667008996009827,0.3785141408443451
11,0.563782811164856,0.6858473420143127,0.7457497119903564,0.6588646173477173,0.6085870862007141,0.5448639988899231,0.0009925621084143099,0.59375,0.7811522483825684,0.34067535400390625,0.5234752297401428,0.6349501609802246,0.40860626101493835
12,0.5542232990264893,0.6881009340286255,0.7537428140640259,0.6597649455070496,0.6141750812530518,0.5454514026641846,0.0009911524817389804,0.6495535969734192,0.7117831110954285,0.4901483952999115,0.547188937664032,0.608603298664093,0.4660307765007019
13,0.556557834148407,0.686448335647583,0.7300958633422852,0.665490448474884,0.604049801826477,0.5460341572761536,0.0009896217939055723,0.6729910969734192,0.6586324572563171,0.5357537865638733,0.5329817533493042,0.6009126901626587,0.47202950716018677
14,0.551401674747467,0.6909555196762085,0.7484773397445679,0.6622405648231506,0.6155118942260742,0.5485737919807434,0.0009879704225884047,0.6183035969734192,0.7343239784240723,0.4014103412628174,0.5278589129447937,0.6203042268753052,0.4322717487812042
15,0.5541172027587891,0.6897535920143127,0.7574084997177124,0.6605759263038635,0.619269609451294,0.5498006939888,0.0009861987752386398,0.6551339030265808,0.6764612197875977,0.5006827116012573,0.5075182318687439,0.6098095774650574,0.4176979064941406
16,0.5521382093429565,0.6911057829856873,0.7468804121017456,0.6653823256492615,0.6158627867698669,0.5477663278579712,0.0009843072889837514,0.5658482313156128,0.7969516515731812,0.2918665409088135,0.511591911315918,0.6478992104530334,0.3907488286495209
17,0.5498937368392944,0.6927584409713745,0.7506955862045288,0.6637332439422607,0.615485429763794,0.5491450428962708,0.0009822964305196704,0.6428571343421936,0.7179684638977051,0.45514151453971863,0.5348783135414124,0.6127232909202576,0.4402368664741516
18,0.5487352609634399,0.6951622366905212,0.7576054334640503,0.6677172183990479,0.6219342350959778,0.5543504357337952,0.0009801666959956333,0.7388392686843872,0.23843900859355927,0.9554262757301331,0.32515808939933777,0.5734811425209045,0.5835806727409363
19,0.551480233669281,0.6859976053237915,0.7415649890899658,0.6634591817855835,0.60716712474823,0.5466187596321106,0.0009779186108917661,0.7645089030265808,0.44093990325927734,0.8551068902015686,0.470590740442276,0.5849935412406921,0.5389924049377441
20,0.5494412779808044,0.6939603090286255,0.7398368120193481,0.6724808812141418,0.6135541796684265,0.5515673756599426,0.0009755527298894296,0.6071428656578064,0.7717772126197815,0.3682548999786377,0.5319692492485046,0.629595160484314,0.4211113452911377
21,0.546378493309021,0.6984675526618958,0.7443327307701111,0.6762473583221436,0.619456946849823,0.5587882399559021,0.0009730696367343592,0.6618303656578064,0.685076892375946,0.5083881616592407,0.5359886884689331,0.6063291430473328,0.4511255621910095
22,0.5467154383659363,0.6950120329856873,0.7566925883293152,0.6680859327316284,0.6214268207550049,0.5563719272613525,0.0009704699440926359,0.7053571343421936,0.6004043817520142,0.6258558630943298,0.5103705525398254,0.58990478515625,0.45757824182510376
23,0.5489987730979919,0.6966646909713745,0.7419973015785217,0.6764923334121704,0.6156433820724487,0.5549177527427673,0.0009677542933995191,0.5904017686843872,0.7819684743881226,0.3298099637031555,0.5247464776039124,0.6321493983268738,0.4099189341068268
24,0.5519724488258362,0.6918569803237915,0.752661406993866,0.6593347191810608,0.6147364974021912,0.5594733357429504,0.0009649233547011819,0.625,0.7598680853843689,0.4023861885070801,0.5427514910697937,0.6231939196586609,0.4367862343788147
25,0.540480375289917,0.6936598420143127,0.7500477433204651,0.6677671670913696,0.618864119052887,0.5519789457321167,0.000961977826489388,0.7198660969734192,0.5861877202987671,0.660030722618103,0.522584855556488,0.5864626169204712,0.4942663311958313
26,0.5419028401374817,0.6975660920143127,0.7492713332176208,0.6736068725585938,0.6240190267562866,0.554568886756897,0.0009589184355291488,0.7064732313156128,0.6170589327812195,0.6350679397583008,0.5292655825614929,0.5932050347328186,0.47586625814437866
27,0.5439447164535522,0.7007211446762085,0.7461626529693604,0.6799214482307434,0.6229327321052551,0.5646026134490967,0.0009557459366794051,0.6383928656578064,0.7067415118217468,0.43736955523490906,0.5162695646286011,0.6109448075294495,0.42276620864868164
28,0.5432459115982056,0.7017728090286255,0.7555086612701416,0.6793283224105835,0.6288079023361206,0.5667068362236023,0.000952461112706777,0.5959821343421936,0.7800204157829285,0.34343618154525757,0.5280117988586426,0.6304931044578552,0.41447097063064575
