epoch,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,lr,duration_seconds
0,0.6750300526618958,0.7106097936630249,0.1560671031475067,0.47741955518722534,0.6872852444648743,0.08802817016839981,0.9792426824569702,0.46727309032128406,0.7153109908103943,0.8198262453079224,0.28742516040802,0.5547738671302795,0.9056603908538818,0.1708185076713562,0.9909909963607788,0.4616973634277071,0.0005,22.4
1,0.727463960647583,0.7978024482727051,0.40446487069129944,0.6138825416564941,0.7958656549453735,0.27112674713134766,0.9639598727226257,0.4087354804460819,0.739234447479248,0.8381392359733582,0.3910614550113678,0.6125779151916504,0.9090909361839294,0.24911032617092133,0.9873873591423035,0.43205066424395355,0.0004999692198041743,21.5
2,0.7487980723381042,0.828545868396759,0.47188881039619446,0.6535474061965942,0.836506187915802,0.32864055037498474,0.9666894674301147,0.3822913770205699,0.7595694065093994,0.8457439541816711,0.4696570038795471,0.6571022868156433,0.9081632494926453,0.3167259693145752,0.9837837815284729,0.4109100751312716,0.00049987688681125,21.71
3,0.762770414352417,0.8406171202659607,0.5169776678085327,0.6798768639564514,0.8458458185195923,0.3722466826438904,0.9648882746696472,0.3706672784800713,0.7954545617103577,0.8419159650802612,0.6122449040412903,0.736666738986969,0.84375,0.4804270565509796,0.954954981803894,0.41330115204410894,0.0004997230238030115,21.91
4,0.774338960647583,0.8552383184432983,0.5587543845176697,0.703579843044281,0.8393645286560059,0.41875824332237244,0.9584948420524597,0.35632252234679,0.7858851552009583,0.8495399355888367,0.5768321752548218,0.7167587280273438,0.8591549396514893,0.4341636896133423,0.9639639854431152,0.4182564777189067,0.0004995076687428538,20.35
5,0.7911658883094788,0.869491457939148,0.6048891544342041,0.731482744216919,0.8566827774047852,0.46748682856559753,0.9593607187271118,0.3409850653260946,0.7775119543075562,0.8610753417015076,0.5418719053268433,0.6974762678146362,0.8799999952316284,0.39145907759666443,0.9729729890823364,0.3979786772813116,0.0004992308747664155,20.31
6,0.7992788553237915,0.88169264793396,0.6232374310493469,0.743218183517456,0.8673469424247742,0.48635563254356384,0.9614507555961609,0.3236055696526399,0.7811004519462585,0.8483729362487793,0.5503685474395752,0.7028522491455078,0.8888888955116272,0.3985764980316162,0.9747747778892517,0.4283066410571337,0.0004988927101684684,20.28
7,0.807692289352417,0.8873059749603271,0.6450360417366028,0.7565793991088867,0.8731231093406677,0.5114336013793945,0.9614331126213074,0.3200128333499798,0.7894737124443054,0.8476996421813965,0.6071428656578064,0.7316759824752808,0.8143712282180786,0.4839857518672943,0.9441441297531128,0.40912349043147905,0.0004984932583860673,21.83
8,0.8177584409713745,0.9040261507034302,0.6695723533630371,0.7718777656555176,0.8803724646568298,0.540219783782959,0.9618808627128601,0.2943556278657455,0.7894737124443054,0.8523227572441101,0.6157205104827881,0.7353726029396057,0.7966101765632629,0.5017793774604797,0.9351351261138916,0.4209154668663229,0.0004980326179779622,20.21
9,0.8302283883094788,0.9131870269775391,0.7035676836967468,0.7923101186752319,0.8724788427352905,0.5894505381584167,0.9552613496780396,0.28427387960255146,0.790669858455658,0.864486575126648,0.608501136302948,0.7328220009803772,0.8192771077156067,0.4839857518672943,0.9459459185600281,0.4347462445231421,0.000497510902600281,20.36
10,0.8422476053237915,0.9223620295524597,0.7284014225006104,0.8086216449737549,0.8844221234321594,0.6191732883453369,0.9580100178718567,0.2706910102413251,0.7822966575622559,0.8535090088844299,0.5787037014961243,0.7159647941589355,0.8278145790100098,0.44483986496925354,0.953153133392334,0.4843297620703067,0.0004969282409784868,20.32
11,0.8590745329856873,0.9314156770706177,0.7627719044685364,0.8312684297561646,0.8976190686225891,0.6631486415863037,0.9607484936714172,0.2508644779714254,0.8026315569877625,0.8662499189376831,0.6389496922492981,0.7515736222267151,0.8295454382896423,0.5195729732513428,0.9459459185600281,0.42725964529173716,0.0004962847768756161,21.85
12,0.8676382303237915,0.9419768452644348,0.7774690389633179,0.841637372970581,0.9128113985061646,0.6770787239074707,0.9664613008499146,0.233635328638439,0.8026315569877625,0.8599275350570679,0.668008029460907,0.7637912631034851,0.7685185074806213,0.5907473564147949,0.9099099040031433,0.4820589689271791,0.0004955806690568078,21.69
13,0.8754507303237915,0.9446609020233154,0.7947511672973633,0.8526759147644043,0.9093484282493591,0.7058047652244568,0.9634869694709778,0.22691596378214085,0.7990430593490601,0.8582411408424377,0.6769230961799622,0.7655448913574219,0.7364016771316528,0.626334547996521,0.8864864706993103,0.5198673603257963,0.0004948160912501305,20.34
