epoch,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,lr,duration_seconds
10,0.6700721383094788,0.766032338142395,0.6044668555259705,0.6607385873794556,0.5115853548049927,0.7385563254356384,0.6345803141593933,0.5712398439645767,0.7081339955329895,0.7982366681098938,0.6163522005081177,0.6904155015945435,0.5521126985549927,0.6975088715553284,0.7135134935379028,0.5564382470079831,9.939057285945931e-05,31.07
11,0.6715745329856873,0.7605136632919312,0.6066930294036865,0.6623870134353638,0.5130858421325684,0.7420774698257446,0.6350364685058594,0.5765900511581165,0.7141148447990417,0.8031419515609741,0.6224328875541687,0.6962020397186279,0.5596590638160706,0.7010676264762878,0.7207207083702087,0.5584046244621277,9.92629116446613e-05,32.08
12,0.6678184866905212,0.7555825114250183,0.6019802093505859,0.6584736704826355,0.5091351866722107,0.7362395524978638,0.6323831081390381,0.5802715976650898,0.6889952421188354,0.7975826263427734,0.6153846383094788,0.6771702170372009,0.5265823006629944,0.7402135133743286,0.6630630493164062,0.5526110753417015,9.912321891107009e-05,31.51
13,0.6712740659713745,0.7653735280036926,0.6106761693954468,0.6631124019622803,0.5128511786460876,0.7546173930168152,0.6280237436294556,0.5692616291344166,0.7081339955329895,0.7966529130935669,0.610223650932312,0.6884770393371582,0.5536231994628906,0.6797152757644653,0.722522497177124,0.5556825761284147,9.89715291257774e-05,31.1
14,0.6697716116905212,0.7636195421218872,0.6033923029899597,0.660254716873169,0.5111586451530457,0.7362395524978638,0.6353477835655212,0.5757244111826787,0.7488038539886475,0.8012567758560181,0.5531914830207825,0.6892412900924683,0.6878306865692139,0.4626334607601166,0.8936936855316162,0.594010207269873,9.880787971596799e-05,31.12
15,0.6840444803237915,0.7716131806373596,0.6146234273910522,0.6734479665756226,0.5268614292144775,0.7374669909477234,0.6563212871551514,0.5673367550166754,0.6638755798339844,0.7943316698074341,0.6176870465278625,0.6588969230651855,0.5,0.8078292012214661,0.5909910202026367,0.5565651719059262,9.863231105968498e-05,31.14
16,0.680588960647583,0.7694817185401917,0.6184493899345398,0.6718862056732178,0.5222795009613037,0.758029043674469,0.640428900718689,0.5704989178249469,0.6435406804084778,0.7939597964286804,0.6159793734550476,0.6416950225830078,0.482828289270401,0.8505337834358215,0.5387387275695801,0.5607434234448841,9.844486647586723e-05,31.82
17,0.6769831776618958,0.7699796557426453,0.6128916144371033,0.6678791642189026,0.5190606713294983,0.7481318712234497,0.6400365233421326,0.5672902513581973,0.7236841917037964,0.806380033493042,0.6181818246841431,0.7008434534072876,0.5771604776382446,0.6654804348945618,0.7531531453132629,0.5540982133575848,9.824559221366101e-05,31.4
18,0.6781851053237915,0.7670670747756958,0.6136363744735718,0.6689448356628418,0.5206611752510071,0.747035562992096,0.6423841118812561,0.5731463827765905,0.7069377899169922,0.8001538515090942,0.6189735531806946,0.6904391646385193,0.549723744392395,0.708185076713562,0.7063062787055969,0.5560160194124494,9.803453744100869e-05,31.08
19,0.6870492696762085,0.7719942331314087,0.6170251965522766,0.6762250661849976,0.5296717286109924,0.738881528377533,0.6602052450180054,0.5669748995166558,0.7188995480537415,0.8005578517913818,0.6023688912391663,0.6924887895584106,0.57419353723526,0.6334519386291504,0.7621621489524841,0.5649927811963218,9.781175423251735e-05,31.36
20,0.684645414352417,0.776178240776062,0.6192635297775269,0.6750632524490356,0.5265268087387085,0.7516512274742126,0.6499429941177368,0.5618486645130011,0.6997607946395874,0.7989227771759033,0.6167938709259033,0.6849948167800903,0.5401069521903992,0.7188612222671509,0.6900901198387146,0.5503852505769048,9.757729755661011e-05,31.1
21,0.672926664352417,0.7710074186325073,0.6078184247016907,0.6636567115783691,0.5146430730819702,0.742190957069397,0.6370066404342651,0.56481566795936,0.6806219816207886,0.7982430458068848,0.6090775728225708,0.6695539951324463,0.5174129605293274,0.7402135133743286,0.6504504680633545,0.5508337169885635,9.73312252619635e-05,31.4
22,0.674879789352417,0.7718879580497742,0.6116296052932739,0.6660215258598328,0.5158946514129639,0.7509916424751282,0.6355140209197998,0.5661987392948225,0.6842105388641357,0.7937545776367188,0.6162790656089783,0.6739932298660278,0.5208845138549805,0.754448413848877,0.6486486196517944,0.5556942416088921,9.707359806323416e-05,31.47
23,0.680588960647583,0.7757699489593506,0.6155515313148499,0.6711784601211548,0.5222460627555847,0.749449610710144,0.6449258923530579,0.5630796680656763,0.7224880456924438,0.8012118935585022,0.6221498250961304,0.7014340758323669,0.5735735893249512,0.6797152757644653,0.7441441416740417,0.5556518265179226,9.680447952607844e-05,31.13
24,0.6822415590286255,0.7735376358032227,0.6125664114952087,0.6716213226318359,0.5246313214302063,0.73591548204422,0.6544252038002014,0.5624553245993761,0.6411483287811279,0.8005257844924927,0.6183205842971802,0.6398600339889526,0.4811881184577942,0.8647686839103699,0.5279279351234436,0.5525061296565192,9.652393605146843e-05,31.42
25,0.681640625,0.7787456512451172,0.6185418367385864,0.6726846098899841,0.5229832530021667,0.7568281888961792,0.6427268385887146,0.557291781099943,0.7332535982131958,0.8075021505355835,0.642054557800293,0.7147355675697327,0.5847952961921692,0.7117437720298767,0.7441441416740417,0.5532117933034897,9.623203685930868e-05,31.51
26,0.681640625,0.7790271043777466,0.616748034954071,0.6722439527511597,0.5231665968894958,0.7511013150215149,0.6456908583641052,0.5577133475587919,0.6866028904914856,0.8054503202438354,0.6257143020629883,0.6780834794044495,0.5226730108261108,0.7793594598770142,0.6396396160125732,0.5416678232806069,9.592885397135704e-05,31.06
27,0.6817908883094788,0.7799941301345825,0.6187905073165894,0.672855794429779,0.5234470367431641,0.7566021084785461,0.6430200934410095,0.554360054146785,0.7248803973197937,0.7990894913673401,0.599303126335144,0.6949156522750854,0.5870307087898254,0.6120996475219727,0.7819820046424866,0.5637788282973426,9.561446219345451e-05,31.17
28,0.671875,0.7702676057815552,0.6126285791397095,0.6640156507492065,0.5132243633270264,0.7597888112068176,0.6262833476066589,0.5653830944345548,0.6734449863433838,0.7994036674499512,0.6213592290878296,0.6671465039253235,0.5090909004211426,0.7971529960632324,0.6108108162879944,0.5455171870333808,9.528893909706794e-05,31.1
29,0.6681190133094788,0.7668268084526062,0.6093722581863403,0.6604390144348145,0.5099141597747803,0.7570298910140991,0.6219177842140198,0.5646738309699756,0.7356459498405457,0.806303083896637,0.5974498987197876,0.7003278136253357,0.611940324306488,0.5836299061775208,0.8126125931739807,0.5739922331912177,9.495236500015045e-05,31.36
30,0.6780348420143127,0.7742415070533752,0.6140824556350708,0.6689435243606567,0.5195003151893616,0.7507705688476562,0.6403648853302002,0.5605690035109336,0.7045454382896423,0.8029367327690125,0.6274510025978088,0.6913270950317383,0.5445026159286499,0.7402135133743286,0.6864864826202393,0.5598749970751149,9.460482294732418e-05,31.43
31,0.6687199473381042,0.7715197801589966,0.6126822233200073,0.6616370677947998,0.510538637638092,0.7659200429916382,0.6181776523590088,0.5640190888482791,0.6566985845565796,0.7956205606460571,0.6188579201698303,0.6532809734344482,0.4936440587043762,0.8291814923286438,0.569369375705719,0.5582441208618028,9.424639868939032e-05,31.29
32,0.688551664352417,0.7842208743095398,0.6258798241615295,0.6795594096183777,0.5307621955871582,0.7625330090522766,0.6501597166061401,0.5525332551736098,0.7153109908103943,0.8060145378112793,0.628125011920929,0.6987524032592773,0.5598886013031006,0.7153024673461914,0.7153153419494629,0.5495758163077491,9.387718066217123e-05,31.18
33,0.682542085647583,0.7773038148880005,0.6172794699668884,0.6730345487594604,0.5247921347618103,0.7493403553962708,0.6478776931762695,0.5575506882025645,0.7511961460113525,0.8070533275604248,0.611940324306488,0.7144208550453186,0.6431372761726379,0.5836299061775208,0.8360360264778137,0.5703420266509056,9.349725996469046e-05,31.24
34,0.6929086446762085,0.7863892316818237,0.6276866793632507,0.6831862330436707,0.5359253287315369,0.7573626637458801,0.6594384908676147,0.5512323605899627,0.7081339955329895,0.8040909171104431,0.6257668733596802,0.6932755708694458,0.5498652458190918,0.725978672504425,0.6990991234779358,0.5537676332252366,9.31067303366952e-05,31.28
35,0.6918569803237915,0.7862759828567505,0.6271587014198303,0.6822901368141174,0.5340557098388672,0.7595772743225098,0.6567844748497009,0.550227421694077,0.6830143332481384,0.8064570426940918,0.6262341141700745,0.6755262017250061,0.5186915993690491,0.790035605430603,0.6288288235664368,0.5392317484532084,9.270568813552755e-05,31.11
36,0.6849459409713745,0.7799431085586548,0.62086421251297,0.6756807565689087,0.526525616645813,0.7563876509666443,0.6479707956314087,0.5561188814731745,0.7081339955329895,0.8105030059814453,0.637982189655304,0.6967465877532959,0.5470737814903259,0.7651245594024658,0.6792792677879333,0.5390078329614231,9.229423231234973e-05,32.06
37,0.690504789352417,0.7825294137001038,0.625862717628479,0.6809815764427185,0.5329415202140808,0.758029043674469,0.6554871201515198,0.5542093503933686,0.7188995480537415,0.8055368661880493,0.6178861856460571,0.6977794170379639,0.56886225938797,0.6761565804481506,0.7405405640602112,0.553731524518558,9.187246438772937e-05,31.27
38,0.6783353090286255,0.7745606303215027,0.6115042567253113,0.6685261726379395,0.5202223062515259,0.7416373491287231,0.6455292105674744,0.559343614257299,0.7009569406509399,0.8055015802383423,0.6223564743995667,0.6874158382415771,0.5406824350357056,0.7330960631370544,0.684684693813324,0.5416158714464733,9.144048842659079e-05,31.52
39,0.6762319803237915,0.7806104421615601,0.6127583384513855,0.6672930717468262,0.5174506902694702,0.7511013150215149,0.6374828815460205,0.5519861240799611,0.7212918400764465,0.8076624870300293,0.6283891797065735,0.7027113437652588,0.5693641901016235,0.7010676264762878,0.73153156042099,0.5407699570059776,9.099841101253865e-05,31.21
