epoch,Loss-BCE,Train_Accuracy,Train_Sensitivity,Train_Specificity,Train_F1-Score,Train_VPP,lr,Val_Accuracy,Val_Sensitivity,Val_Specificity,Val_F1-Score,Val_BCE-Loss,Val_VPP
0,0.6344406604766846,0.6684194803237915,0.6843395233154297,0.6571651101112366,0.5657438039779663,0.5096457004547119,0.001,0.5345982313156128,0.7398010492324829,0.27496203780174255,0.4731574058532715,0.6890557408332825,0.3621782958507538
1,0.5751473903656006,0.698317289352417,0.7168185710906982,0.6953859925270081,0.6153311133384705,0.5556718111038208,0.0009999383779245895,0.5401785969734192,0.827420175075531,0.26183852553367615,0.5048301815986633,0.7121128439903259,0.37906959652900696
2,0.5644293427467346,0.7055288553237915,0.7115500569343567,0.7076225876808167,0.6164196729660034,0.5587063431739807,0.000999753526902683,0.625,0.6768946051597595,0.4301326870918274,0.48267751932144165,0.6329950094223022,0.3853873312473297
3,0.5546865463256836,0.7086839079856873,0.7366775274276733,0.697435736656189,0.6298241019248962,0.5617735385894775,0.0009994454925435043,0.6216517686843872,0.641243040561676,0.4529125690460205,0.470260888338089,0.6331510543823242,0.3823715150356293
4,0.5609285235404968,0.698317289352417,0.7233507633209229,0.688923716545105,0.6162655353546143,0.5508464574813843,0.000999014350849922,0.4564732015132904,0.8483796119689941,0.1581989824771881,0.4825022518634796,0.7756843566894531,0.35910436511039734
5,0.5496938228607178,0.7004206776618958,0.7375255227088928,0.6859516501426697,0.6225841045379639,0.5549110770225525,0.0009984602081996978,0.4642857015132904,0.8191260099411011,0.16252443194389343,0.47234800457954407,0.7096832394599915,0.3516259491443634
6,0.5434792637825012,0.71484375,0.7361815571784973,0.7062111496925354,0.6331419348716736,0.5693358778953552,0.0009977832013192388,0.7154017686843872,0.19550170004367828,0.9613232612609863,0.2717650830745697,0.5769137144088745,0.5151283144950867
7,0.5376090407371521,0.72265625,0.7458359599113464,0.7137965559959412,0.6434897184371948,0.5788215398788452,0.0009969834972498627,0.7276785969734192,0.4891197085380554,0.7118872404098511,0.4577333629131317,0.5710398554801941,0.44882339239120483
8,0.5369493365287781,0.7211538553237915,0.734376847743988,0.7192537784576416,0.6389556527137756,0.5765851140022278,0.000996061293306582,0.7232142686843872,0.4020776152610779,0.8043531775474548,0.42079558968544006,0.5696440935134888,0.45816150307655334
9,0.5318408608436584,0.7205528616905212,0.7480312585830688,0.7086153626441956,0.6410157084465027,0.5744243264198303,0.0009950168170294207,0.75,0.5350234508514404,0.7283616662025452,0.5027447938919067,0.5843209028244019,0.4895467162132263
10,0.5253741145133972,0.7282151579856873,0.7292276620864868,0.7315890192985535,0.6436361074447632,0.5884599089622498,0.0009938503261272716,0.7689732313156128,0.4728420674800873,0.8225471377372742,0.48456937074661255,0.5481076240539551,0.5157314538955688
11,0.5268915891647339,0.7282151579856873,0.7354661226272583,0.7289011478424072,0.6445732712745667,0.587535560131073,0.0009925621084143099,0.6897321343421936,0.6128328442573547,0.5624722242355347,0.4938921332359314,0.6236777305603027,0.42603573203086853
12,0.5185638666152954,0.7288160920143127,0.7384404540061951,0.7299384474754333,0.6451699733734131,0.5883904099464417,0.0009911524817389804,0.6785714030265808,0.5658249258995056,0.5694295763969421,0.4576571583747864,0.5908364653587341,0.404572457075119
13,0.5204849243164062,0.7265625,0.7274485230445862,0.728443443775177,0.6392828226089478,0.5844175219535828,0.0009896217939055723,0.5959821343421936,0.709499716758728,0.3348318040370941,0.477815717458725,0.6449158787727356,0.36875465512275696
14,0.5120694637298584,0.7337740659713745,0.7443497776985168,0.7294386625289917,0.6517319083213806,0.5905171632766724,0.0009879704225884047,0.7310267686843872,0.4471721351146698,0.7683468461036682,0.4345274269580841,0.5734256505966187,0.43357548117637634
15,0.5114709138870239,0.7271634340286255,0.7528164386749268,0.7199169993400574,0.6489056348800659,0.5856694579124451,0.0009861987752386398,0.6685267686843872,0.650020182132721,0.5101035833358765,0.5023230910301208,0.6080870032310486,0.4178449511528015
16,0.5115386843681335,0.7288160920143127,0.7511425018310547,0.7212395071983337,0.6506839394569397,0.5853322148323059,0.0009843072889837514,0.6350446343421936,0.7423660159111023,0.41983726620674133,0.512744665145874,0.6078602075576782,0.4032319188117981
17,0.5107032656669617,0.7360276579856873,0.7524148225784302,0.7329353094100952,0.6554114818572998,0.5938379168510437,0.0009822964305196704,0.7421875,0.4784187376499176,0.7689868211746216,0.47624239325523376,0.5912186503410339,0.48813727498054504
18,0.5035660266876221,0.7316706776618958,0.7648450136184692,0.719035804271698,0.6561410427093506,0.5872771143913269,0.0009801666959956333,0.6350446343421936,0.6505505442619324,0.5133674740791321,0.5008960366249084,0.6406265497207642,0.4329701364040375
19,0.5051937103271484,0.737379789352417,0.7561674118041992,0.7329838275909424,0.6590608358383179,0.5993344783782959,0.0009779186108917661,0.7734375,0.5144109725952148,0.7932031750679016,0.5064688920974731,0.5809493660926819,0.5327750444412231
20,0.4993551969528198,0.7400841116905212,0.7415913343429565,0.7434682250022888,0.6565345525741577,0.6023579835891724,0.0009755527298894296,0.6785714030265808,0.570185661315918,0.5739969611167908,0.461837500333786,0.5910040140151978,0.41201281547546387
21,0.5023290514945984,0.7423377633094788,0.754413902759552,0.7404844760894775,0.6619002819061279,0.6062107682228088,0.0009730696367343592,0.7890625,0.4908275008201599,0.8405464887619019,0.511319100856781,0.5630475878715515,0.5591171979904175
22,0.49278321862220764,0.735426664352417,0.767663836479187,0.723138153553009,0.6601225137710571,0.5920065641403198,0.0009704699440926359,0.6238839030265808,0.7127151489257812,0.4107206165790558,0.502076268196106,0.6179044842720032,0.39716246724128723
23,0.49879270792007446,0.744140625,0.7548503279685974,0.7426738142967224,0.6628144979476929,0.602355420589447,0.0009677542933995191,0.6540178656578064,0.6649790406227112,0.47552576661109924,0.48887500166893005,0.5839158892631531,0.39731812477111816
24,0.49736344814300537,0.7381309866905212,0.7708138227462769,0.7270373106002808,0.6627233028411865,0.5971384644508362,0.0009649233547011819,0.5747767686843872,0.7560983896255493,0.29561981558799744,0.4893755316734314,0.6746207475662231,0.3727762997150421
25,0.492937296628952,0.7478966116905212,0.7583483457565308,0.7461701035499573,0.668056845664978,0.6094025373458862,0.000961977826489388,0.7589285969734192,0.5611253380775452,0.7405034303665161,0.5081815123558044,0.5618752241134644,0.4908061921596527
26,0.4888657033443451,0.7415865659713745,0.7582875490188599,0.7355619072914124,0.6635773181915283,0.5992083549499512,0.0009589184355291488,0.7243303656578064,0.6321175694465637,0.620062530040741,0.5225009918212891,0.5963098406791687,0.46358057856559753
27,0.4874984622001648,0.7475961446762085,0.7695157527923584,0.7393226623535156,0.671127200126648,0.6070341467857361,0.0009557459366794051,0.7410714030265808,0.21965506672859192,0.9856031537055969,0.31946033239364624,0.5702647566795349,0.6181449890136719
28,0.48726752400398254,0.748046875,0.7648880481719971,0.7428483366966248,0.6695390343666077,0.6087468266487122,0.000952461112706777,0.7622767686843872,0.49115315079689026,0.7831866145133972,0.4900219142436981,0.5641726851463318,0.5106762647628784
29,0.484658420085907,0.7492488026618958,0.7714735269546509,0.7428900599479675,0.672147810459137,0.6085770130157471,0.0009490647740924278,0.6473214030265808,0.663928210735321,0.44750186800956726,0.48365598917007446,0.6061042547225952,0.3920557498931885
30,0.4869118332862854,0.7474459409713745,0.7648558020591736,0.7428719997406006,0.6696408987045288,0.6071840524673462,0.00094555775883209,0.7578125,0.514164388179779,0.7693694233894348,0.4965454041957855,0.5634084939956665,0.4950339198112488
31,0.48184508085250854,0.748948335647583,0.7596195936203003,0.7478923201560974,0.6691328287124634,0.6108668446540833,0.0009419409322293028,0.5859375,0.7618613243103027,0.30977147817611694,0.498271644115448,0.6465893983840942,0.3811360001564026
32,0.48238351941108704,0.753004789352417,0.7811998724937439,0.7436431050300598,0.6784712672233582,0.6128451824188232,0.0009382151866819101,0.7779017686843872,0.43141302466392517,0.8539831042289734,0.46944332122802734,0.5596486330032349,0.5471752285957336
33,0.47940704226493835,0.7484976053237915,0.7721790671348572,0.743996262550354,0.6727161407470703,0.6106195449829102,0.0009343814414618769,0.8058035969734192,0.45858460664749146,0.9096783995628357,0.5156847834587097,0.5490618348121643,0.6041131019592285
34,0.47747501730918884,0.7512019276618958,0.7651401162147522,0.7483346462249756,0.6718606352806091,0.6103111505508423,0.0009304406424884702,0.7845982313156128,0.48794397711753845,0.834908127784729,0.49949124455451965,0.5366958379745483,0.5372674465179443
35,0.4724549949169159,0.7599158883094788,0.7766328454017639,0.7552893757820129,0.6861305236816406,0.6280145645141602,0.0009263937620948695,0.6462053656578064,0.7335769534111023,0.41000184416770935,0.5107898116111755,0.6121591925621033,0.399398535490036
36,0.46913832426071167,0.7552584409713745,0.7836180329322815,0.7439535856246948,0.681972086429596,0.617304265499115,0.000922241798788257,0.546875,0.7820348143577576,0.254947692155838,0.4926814138889313,0.7146033644676208,0.37361058592796326
